,Code,Course Title,Round 1 Points,Round 2 Points,EOS Points,Mid Point
1301,TU832,Architecture (Suitability Test and Interview),622.0,,622.0,658.0
1302,TU833,Construction Management,367.0,,367.0,404.0
1303,TU834,Geographic Science,288.0,,288.0,357.0
1304,TU835,Planning and Environmental Management,313.0,,313.0,349.0
1305,TU836,Property Economics (Valuation Surveying),401.0,,401.0,433.0
1306,TU837,Quantity Surveying and Construction Economics,385.0,,385.0,418.0
1307,TU851,Analytical Chemistry (Environmental Forensic and Pharmaceutical),349.0,,349.0,419.0
1308,TU852,Chemical Sciences with Medicinal Chemistry,476.0,,476.0,498.0
1309,TU854,Science (General Entry),476.0,,476.0,495.0
1310,TU855,Science with Nanotechnology,331.0,319.0,319.0,368.0
1311,TU856,Computer Science,476.0,,476.0,487.0
1312,TU857,Computer Science (Infrastructure),391.0,,391.0,419.0
1313,TU858,Computer Science (International),377.0,,377.0,424.0
1314,TU859,Computing,217.0,234.0,217.0,308.0
1315,TU860,Computing (Information Technology),260.0,,260.0,329.0
1316,TU861,Computing with Language (French/German/Spanish),308.0,308.0,308.0,348.0
1317,TU862,Computing with Data Analytics,226.0,226.0,226.0,288.0
1318,TU863,Digital Forensics and Cyber Security,280.0,,280.0,338.0
1319,TU864,DNA and Forensic Analysis,400.0,390.0,390.0,429.0
1320,TU865,Computing with IT Management,226.0,,226.0,331.0
1321,TU866,Biomedical and Molecular Diagnostics,487.0,,487.0,498.0
1322,TU867,Biomedical Science,524.0,,524.0,542.0
1323,TU868,Clinical Measurement Science,510.0,,510.0,520.0
1324,TU869,Environmental Health,336.0,,336.0,375.0
1325,TU870,Human Nutrition and Dietetics,578.0,,578.0,589.0
1326,TU871,Optometry,509.0,,509.0,530.0
1327,TU872,Public Health Nutrition,491.0,,491.0,512.0
1328,TU873,Industrial Mathematics,250.0,250.0,250.0,392.0
1329,TU874,Mathematical Sciences,341.0,,343.0,407.0
1330,TU875,Pharmaceutical Healthcare,400.0,,400.0,440.0
1331,TU876,Pharmaceutical Science,377.0,349.0,349.0,391.0
1332,TU877,Physics Technology,308.0,,308.0,373.0
1333,TU878,Physics with Energy and Environment,337.0,337.0,331.0,444.0
1334,TU879,Physics with Medical Physics and Bioengineering,351.0,,351.0,403.0
1335,TU880,Physics with Data Science,578.0,,,
1336,TU881,Food Innovation,318.0,,318.0,389.0
1337,TU882,Nutraceuticals in Health and Nutrition,397.0,,397.0,442.0
1338,TU901,Business,270.0,,270.0,307.0
1339,TU902,Business (Common Entry with Award options),271.0,,271.0,359.0
1340,TU903,Business and Management,463.0,,463.0,485.0
1341,TU904,Business and Law,462.0,,462.0,487.0
1342,TU905,Economics and Finance,465.0,,465.0,488.0
1343,TU906,Human Resource Management,395.0,,395.0,414.0
1344,TU907,Logistics and Supply Chain Management,300.0,,300.0,387.0
1345,TU908,Management,262.0,253.0,253.0,337.0
1346,TU909,Accounting and Finance,285.0,,285.0,326.0
1347,TU910,Accounting and Finance,444.0,,444.0,466.0
1348,TU911,Accounting and Finance,209.0,192.0,192.0,319.0
1349,TU912,Business Analytics,330.0,,330.0,366.0
1350,TU913,Business and Information Technology,252.0,,252.0,299.0
1351,TU914,Business Computing,324.0,,324.0,366.0
1352,TU915,International Business,252.0,,252.0,302.0
1353,TU916,International Business,235.0,235.0,235.0,337.0
1354,TU917,Law (LLB ) with a Language,342.0,,342.0,433.0
1355,TU918,Law (LLB),451.0,,451.0,478.0
1356,TU919,Advertising and Marketing Communications,228.0,226.0,226.0,311.0
1357,TU920,Digital Marketing,270.0,,270.0,318.0
1358,TU921,Digital Marketing Technologies,212.0,212.0,234.0,300.0
1359,TU922,Marketing,418.0,,418.0,443.0
1360,TU923,Marketing Management,228.0,276.0,228.0,318.0
1361,TU924,E-Commerce in Retailing,307.0,,307.0,380.0
1362,TU925,Retail and Services Management,301.0,,301.0,362.0
1363,TU935,Sports Management and Coaching,300.0,,300.0,347.0
1364,TU936,Sports Science and Health,410.0,391.0,391.0,419.0
1365,TU941,Botanical Cuisine,249.0,,249.0,257.0
1366,TU942,Culinary Arts,212.0,212.0,212.0,340.0
1367,TU943,Culinary Entrepreneurship,278.0,,279.0,357.0
1368,TU944,Culinary Science,316.0,,316.0,379.0
1369,TU951,International Hospitality and Tourism Management,184.0,184.0,200.0,298.0
1370,TU952,International Hospitality Management,300.0,,306.0,368.0
1371,TU953,Tourism and Digital Marketing,290.0,,290.0,359.0
1372,TU954,Event Management,356.0,,356.0,404.0
1373,TU955,Sports & Leisure Management,217.0,317.0,217.0,347.0
1374,TU961,Commercial Modern Music,608.0,608.0,608.0,848.0
1375,TU962,Drama (Performance),379.0,,379.0,500.0
1376,TU963,Music,416.0,,416.0,535.0
1377,TU965,International Business and Languages,356.0,346.0,346.0,413.0
1378,TU966,Languages and English Studies,366.0,,434.0,466.0
1379,TU967,Languages and International Tourism,308.0,,326.0,388.0
1380,TU971,Contemporary Visual Culture,290.0,,290.0,320.0
1381,TU972,Creative and Cultural Industries,281.0,,281.0,369.0
1382,TU973,Design - Visual Communication,717.0,,717.0,865.0
1383,TU974,Fine Art,709.0,563.0,563.0,826.0
1384,TU975,Interior Design,632.0,,632.0,879.0
1385,TU976,Photography,695.0,,695.0,926.0
1386,TU981,Creative Digital Media,280.0,,282.0,318.0
1387,TU982,Creative Digital Media,320.0,311.0,311.0,352.0
1388,TU983,Film and Broadcasting,456.0,451.0,451.0,484.0
1389,TU984,Game Design,381.0,,381.0,419.0
1390,TU985,Journalism,322.0,,322.0,377.0
1391,TU986,Print Media Technology and Management,289.0,,289.0,300.0
1392,TU991,Applied Social Studies in Social Care,325.0,,325.0,352.0
1393,TU992,Community and Youth Development,251.0,,253.0,297.0
1394,TU993,Early Childhood Care and Education,270.0,,270.0,311.0
1395,TU994,Early Childhood Care and Education,321.0,251.0,230.0,304.0
1396,TU995,Early Childhood Education,367.0,,367.0,409.0
1397,TU996,Social Care,400.0,,400.0,419.0
1398,TU997,Applied Social Care,310.0,283.0,270.0,318.0
1399,WD001,Applied Computing (options),260.0,260.0,260.0,413.0
1400,WD002,Science (options),308.0,,308.0,388.0
1402,WD005,Health Sciences (options),280.0,,280.0,338.0
1403,WD006,Exercise Sciences (options),280.0,,280.0,359.0
1404,WD007,Engineering (options),288.0,288.0,288.0,409.0
1410,WD025,Construction Management and Engineering,269.0,,269.0,341.0
1411,WD027,Music,262.0,,262.0,409.0
1412,WD048,Business (options),271.0,,271.0,371.0
1414,WD084,Accounting,308.0,,308.0,411.0
1415,WD091,Hospitality Management,228.0,,228.0,310.0
1419,WD116,General Nursing,422.0,,422.0,451.0
1420,WD117,Psychiatric Nursing,366.0,,366.0,388.0
1421,WD120,Intellectual Disability Nursing,377.0,,377.0,388.0
1423,WD134,International Business,290.0,,290.0,362.0
1424,WD137,Design (Visual Communications),271.0,,271.0,351.0
1426,WD140,Laws,280.0,,280.0,367.0
1427,WD144,Architecture,284.0,,284.0,359.0
1428,WD147,Pharmaceutical Science,293.0,,293.0,390.0
1429,WD149,Early Childhood Studies,271.0,,271.0,368.0
1430,WD150,Criminal Justice Studies,270.0,,270.0,331.0
1432,WD152,Visual Art,,,,317.0
1436,WD161,Computer Forensics and Security,255.0,,255.0,380.0
1437,WD162,Quantity Surveying,216.0,,216.0,306.0
1438,WD163,Psychology,434.0,,434.0,473.0
1447,WD186,Sports Coaching and Performance,270.0,,270.0,344.0
1448,WD187,Social Science,272.0,,272.0,348.0
1450,WD191,Agricultural Science,377.0,,377.0,420.0
1451,WD192,Social Care Practice,270.0,,270.0,326.0
1452,WD193,Marketing and Digital Media,271.0,,271.0,347.0
1453,WD194,Culinary Arts,217.0,,217.0,321.0
1454,WD195,Architectural and Building Information Modelling Technology,279.0,,279.0,367.0
1455,WD200,Arts (options),,,,336.0
1460,WD210,Software Systems Development,279.0,,279.0,337.0
1461,WD211,Creative Computing,271.0,,271.0,318.0
1462,WD212,Recreation and Sport Management,270.0,,270.0,349.0
1463,WD230,Mechanical and Manufacturing Engineering,253.0,,253.0,369.0
